in update mr0: q=0.50, mr0=0.88, mult0=0.06, mr1=0.0000, mult1=0.0000, spec_accs_cnt=1000, reg_accs_cnt=0
in update mr0: q=0.19, mr0=0.89, mult0=0.09, mr1=0.0267, mult1=0.0050, spec_accs_cnt=7000, reg_accs_cnt=3271
in update mr0: q=0.19, mr0=0.88, mult0=0.09, mr1=0.0267, mult1=0.0050, spec_accs_cnt=8000, reg_accs_cnt=3679
in update mr0: q=0.17, mr0=0.87, mult0=0.11, mr1=0.0267, mult1=0.0046, spec_accs_cnt=9000, reg_accs_cnt=3999
in update mr1: q=0.17, mr0=0.87, mult0=0.11, mr1=0.0525, mult1=0.0091, spec_accs_cnt=9003, reg_accs_cnt=4000
in update mr0: q=0.17, mr0=0.84, mult0=0.13, mr1=0.0525, mult1=0.0090, spec_accs_cnt=10000, reg_accs_cnt=4311
calling from mr0
advertising
in update mr0: q=0.17, mr0=0.85, mult0=0.12, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=520
in update mr1: q=0.21, mr0=0.85, mult0=0.12, mr1=0.0057, mult1=0.0012, spec_accs_cnt=1710, reg_accs_cnt=1000
in update mr0: q=0.22, mr0=0.85, mult0=0.11, mr1=0.0057, mult1=0.0013, spec_accs_cnt=2000, reg_accs_cnt=1241
in update mr0: q=0.22, mr0=0.85, mult0=0.11, mr1=0.0057, mult1=0.0012, spec_accs_cnt=3000, reg_accs_cnt=1863
in update mr1: q=0.22, mr0=0.85, mult0=0.11, mr1=0.0098, mult1=0.0022, spec_accs_cnt=3200, reg_accs_cnt=2000
in update mr0: q=0.22, mr0=0.85, mult0=0.12, mr1=0.0098, mult1=0.0021, spec_accs_cnt=4000, reg_accs_cnt=2418
in update mr0: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0098, mult1=0.0020, spec_accs_cnt=5000, reg_accs_cnt=2899
in update mr1: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0131, mult1=0.0027, spec_accs_cnt=5301, reg_accs_cnt=3000
in update mr0: q=0.20, mr0=0.84, mult0=0.13, mr1=0.0131, mult1=0.0027, spec_accs_cnt=6000, reg_accs_cnt=3471
in update mr0: q=0.21, mr0=0.85, mult0=0.12, mr1=0.0131, mult1=0.0028, spec_accs_cnt=7000, reg_accs_cnt=3788
in update mr0: q=0.16, mr0=0.87, mult0=0.11, mr1=0.0131, mult1=0.0021, spec_accs_cnt=8000, reg_accs_cnt=3958
in update mr1: q=0.16, mr0=0.87, mult0=0.11, mr1=0.0203, mult1=0.0033, spec_accs_cnt=8119, reg_accs_cnt=4000
in update mr0: q=0.15, mr0=0.87, mult0=0.11, mr1=0.0203, mult1=0.0031, spec_accs_cnt=9000, reg_accs_cnt=4199
in update mr0: q=0.13, mr0=0.89, mult0=0.10, mr1=0.0203, mult1=0.0027, spec_accs_cnt=10000, reg_accs_cnt=4283
in update mr0: q=0.14, mr0=0.88, mult0=0.10, mr1=0.0203, mult1=0.0028, spec_accs_cnt=11000, reg_accs_cnt=4570
in update mr1: q=0.17, mr0=0.88, mult0=0.10, mr1=0.0297, mult1=0.0049, spec_accs_cnt=11000, reg_accs_cnt=5000
in update mr1: q=0.15, mr0=0.88, mult0=0.10, mr1=0.0611, mult1=0.0091, spec_accs_cnt=11000, reg_accs_cnt=6000
in update mr1: q=0.19, mr0=0.88, mult0=0.10, mr1=0.0685, mult1=0.0127, spec_accs_cnt=11000, reg_accs_cnt=7000
in update mr1: q=0.17, mr0=0.88, mult0=0.10, mr1=0.0802, mult1=0.0137, spec_accs_cnt=11000, reg_accs_cnt=8000
in update mr1: q=0.19, mr0=0.88, mult0=0.10, mr1=0.0784, mult1=0.0149, spec_accs_cnt=11000, reg_accs_cnt=9000
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0860, mult1=0.0188, spec_accs_cnt=11000, reg_accs_cnt=10000
in update mr1: q=0.21, mr0=0.88, mult0=0.09, mr1=0.0880, mult1=0.0187, spec_accs_cnt=11000, reg_accs_cnt=11000
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.1163, mult1=0.0252, spec_accs_cnt=11000, reg_accs_cnt=12000
calling from mr1
advertising
in update mr0: q=0.23, mr0=0.85, mult0=0.11, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=776
in update mr1: q=0.24, mr0=0.85, mult0=0.11, mr1=0.0077, mult1=0.0018, spec_accs_cnt=1382, reg_accs_cnt=1000
in update mr0: q=0.22, mr0=0.87, mult0=0.10, mr1=0.0077, mult1=0.0017, spec_accs_cnt=2000, reg_accs_cnt=1275
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0077, mult1=0.0016, spec_accs_cnt=3000, reg_accs_cnt=1762
in update mr1: q=0.20, mr0=0.87, mult0=0.11, mr1=0.0261, mult1=0.0052, spec_accs_cnt=3570, reg_accs_cnt=2000
in update mr0: q=0.20, mr0=0.87, mult0=0.11, mr1=0.0261, mult1=0.0053, spec_accs_cnt=4000, reg_accs_cnt=2221
in update mr1: q=0.22, mr0=0.87, mult0=0.10, mr1=0.0330, mult1=0.0072, spec_accs_cnt=4762, reg_accs_cnt=3000
in update mr1: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0368, mult1=0.0086, spec_accs_cnt=4762, reg_accs_cnt=4000
in update mr1: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0416, mult1=0.0097, spec_accs_cnt=4762, reg_accs_cnt=5000
in update mr0: q=0.21, mr0=0.86, mult0=0.11, mr1=0.0416, mult1=0.0087, spec_accs_cnt=5000, reg_accs_cnt=5997
in update mr1: q=0.21, mr0=0.86, mult0=0.11, mr1=0.0519, mult1=0.0108, spec_accs_cnt=5030, reg_accs_cnt=6000
in update mr0: q=0.21, mr0=0.85, mult0=0.12, mr1=0.0519, mult1=0.0107, spec_accs_cnt=6000, reg_accs_cnt=6535
in update mr1: q=0.21, mr0=0.85, mult0=0.12, mr1=0.0547, mult1=0.0117, spec_accs_cnt=6745, reg_accs_cnt=7000
in update mr0: q=0.21, mr0=0.85, mult0=0.12, mr1=0.0547, mult1=0.0117, spec_accs_cnt=7000, reg_accs_cnt=7177
in update mr0: q=0.23, mr0=0.85, mult0=0.12, mr1=0.0547, mult1=0.0124, spec_accs_cnt=8000, reg_accs_cnt=7932
in update mr1: q=0.23, mr0=0.85, mult0=0.12, mr1=0.0615, mult1=0.0140, spec_accs_cnt=8291, reg_accs_cnt=8000
in update mr0: q=0.20, mr0=0.87, mult0=0.10, mr1=0.0615, mult1=0.0125, spec_accs_cnt=9000, reg_accs_cnt=8103
in update mr0: q=0.17, mr0=0.87, mult0=0.11, mr1=0.0615, mult1=0.0102, spec_accs_cnt=10000, reg_accs_cnt=8347
in update mr0: q=0.16, mr0=0.88, mult0=0.10, mr1=0.0615, mult1=0.0101, spec_accs_cnt=11000, reg_accs_cnt=8602
in update mr1: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0829, mult1=0.0148, spec_accs_cnt=11000, reg_accs_cnt=9000
in update mr0: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0829, mult1=0.0149, spec_accs_cnt=12000, reg_accs_cnt=9611
in update mr1: q=0.19, mr0=0.88, mult0=0.10, mr1=0.0867, mult1=0.0168, spec_accs_cnt=12000, reg_accs_cnt=10000
in update mr1: q=0.20, mr0=0.88, mult0=0.10, mr1=0.0890, mult1=0.0174, spec_accs_cnt=12000, reg_accs_cnt=11000
in update mr1: q=0.20, mr0=0.88, mult0=0.10, mr1=0.0788, mult1=0.0159, spec_accs_cnt=12000, reg_accs_cnt=12000
in update mr1: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0891, mult1=0.0161, spec_accs_cnt=12888, reg_accs_cnt=13000
in update mr0: q=0.18, mr0=0.86, mult0=0.11, mr1=0.0891, mult1=0.0163, spec_accs_cnt=13000, reg_accs_cnt=13056
in update mr0: q=0.21, mr0=0.86, mult0=0.11, mr1=0.0891, mult1=0.0186, spec_accs_cnt=14000, reg_accs_cnt=13639
in update mr1: q=0.19, mr0=0.86, mult0=0.12, mr1=0.0828, mult1=0.0161, spec_accs_cnt=14711, reg_accs_cnt=14000
in update mr0: q=0.21, mr0=0.85, mult0=0.12, mr1=0.0828, mult1=0.0170, spec_accs_cnt=15000, reg_accs_cnt=14187
in update mr0: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0828, mult1=0.0175, spec_accs_cnt=16000, reg_accs_cnt=14750
in update mr1: q=0.22, mr0=0.84, mult0=0.12, mr1=0.0911, mult1=0.0199, spec_accs_cnt=16336, reg_accs_cnt=15000
in update mr0: q=0.23, mr0=0.83, mult0=0.13, mr1=0.0911, mult1=0.0207, spec_accs_cnt=17000, reg_accs_cnt=15456
calling from mr0
advertising
in update mr0: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=317
in update mr0: q=0.18, mr0=0.90, mult0=0.08, mr1=0.0010, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=588
in update mr1: q=0.19, mr0=0.90, mult0=0.08, mr1=0.0128, mult1=0.0024, spec_accs_cnt=2000, reg_accs_cnt=1000
in update mr1: q=0.24, mr0=0.90, mult0=0.08, mr1=0.0146, mult1=0.0035, spec_accs_cnt=2000, reg_accs_cnt=2000
in update mr1: q=0.26, mr0=0.90, mult0=0.07, mr1=0.0152, mult1=0.0039, spec_accs_cnt=2000, reg_accs_cnt=3000
in update mr1: q=0.23, mr0=0.90, mult0=0.08, mr1=0.0199, mult1=0.0046, spec_accs_cnt=2000, reg_accs_cnt=4000
in update mr1: q=0.25, mr0=0.90, mult0=0.07, mr1=0.0229, mult1=0.0057, spec_accs_cnt=2000, reg_accs_cnt=5000
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0362, mult1=0.0078, spec_accs_cnt=2000, reg_accs_cnt=6000
in update mr1: q=0.19, mr0=0.90, mult0=0.08, mr1=0.0979, mult1=0.0188, spec_accs_cnt=2861, reg_accs_cnt=7000
in update mr1: q=0.20, mr0=0.90, mult0=0.08, mr1=0.0959, mult1=0.0192, spec_accs_cnt=2861, reg_accs_cnt=8000
in update mr1: q=0.19, mr0=0.90, mult0=0.08, mr1=0.1177, mult1=0.0226, spec_accs_cnt=2861, reg_accs_cnt=9000
calling from mr1
advertising
in update mr0: q=0.22, mr0=0.86, mult0=0.11, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=798
in update mr1: q=0.23, mr0=0.86, mult0=0.11, mr1=0.0213, mult1=0.0048, spec_accs_cnt=1324, reg_accs_cnt=1000
in update mr0: q=0.24, mr0=0.87, mult0=0.10, mr1=0.0213, mult1=0.0050, spec_accs_cnt=2000, reg_accs_cnt=1495
in update mr1: q=0.22, mr0=0.87, mult0=0.10, mr1=0.0279, mult1=0.0063, spec_accs_cnt=2780, reg_accs_cnt=2000
in update mr0: q=0.22, mr0=0.88, mult0=0.10, mr1=0.0279, mult1=0.0063, spec_accs_cnt=3000, reg_accs_cnt=2117
in update mr0: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0279, mult1=0.0062, spec_accs_cnt=4000, reg_accs_cnt=2588
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0332, mult1=0.0072, spec_accs_cnt=4000, reg_accs_cnt=3000
in update mr1: q=0.21, mr0=0.88, mult0=0.10, mr1=0.0382, mult1=0.0079, spec_accs_cnt=4000, reg_accs_cnt=4000
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0416, mult1=0.0090, spec_accs_cnt=4000, reg_accs_cnt=5000
in update mr1: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0537, mult1=0.0126, spec_accs_cnt=4000, reg_accs_cnt=6000
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0503, mult1=0.0120, spec_accs_cnt=4000, reg_accs_cnt=7000
in update mr1: q=0.24, mr0=0.88, mult0=0.09, mr1=0.0475, mult1=0.0112, spec_accs_cnt=4000, reg_accs_cnt=8000
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0453, mult1=0.0102, spec_accs_cnt=4838, reg_accs_cnt=9000
in update mr0: q=0.22, mr0=0.86, mult0=0.10, mr1=0.0453, mult1=0.0102, spec_accs_cnt=5000, reg_accs_cnt=9085
in update mr0: q=0.23, mr0=0.86, mult0=0.11, mr1=0.0453, mult1=0.0105, spec_accs_cnt=6000, reg_accs_cnt=9917
in update mr1: q=0.23, mr0=0.86, mult0=0.11, mr1=0.0495, mult1=0.0114, spec_accs_cnt=6190, reg_accs_cnt=10000
in update mr0: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0495, mult1=0.0112, spec_accs_cnt=7000, reg_accs_cnt=10530
in update mr1: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0799, mult1=0.0170, spec_accs_cnt=7903, reg_accs_cnt=11000
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0799, mult1=0.0170, spec_accs_cnt=8000, reg_accs_cnt=11034
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0799, mult1=0.0170, spec_accs_cnt=9000, reg_accs_cnt=11576
in update mr0: q=0.19, mr0=0.88, mult0=0.10, mr1=0.0799, mult1=0.0150, spec_accs_cnt=10000, reg_accs_cnt=11851
in update mr1: q=0.19, mr0=0.88, mult0=0.10, mr1=0.0774, mult1=0.0145, spec_accs_cnt=10384, reg_accs_cnt=12000
in update mr0: q=0.18, mr0=0.87, mult0=0.11, mr1=0.0774, mult1=0.0140, spec_accs_cnt=11000, reg_accs_cnt=12175
in update mr0: q=0.18, mr0=0.87, mult0=0.11, mr1=0.0774, mult1=0.0142, spec_accs_cnt=12000, reg_accs_cnt=12598
in update mr1: q=0.19, mr0=0.87, mult0=0.10, mr1=0.0791, mult1=0.0148, spec_accs_cnt=12703, reg_accs_cnt=13000
in update mr0: q=0.19, mr0=0.87, mult0=0.11, mr1=0.0791, mult1=0.0150, spec_accs_cnt=13000, reg_accs_cnt=13094
in update mr0: q=0.19, mr0=0.87, mult0=0.10, mr1=0.0791, mult1=0.0151, spec_accs_cnt=14000, reg_accs_cnt=13524
in update mr0: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0791, mult1=0.0141, spec_accs_cnt=15000, reg_accs_cnt=13867
in update mr1: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0950, mult1=0.0166, spec_accs_cnt=15400, reg_accs_cnt=14000
in update mr0: q=0.18, mr0=0.88, mult0=0.10, mr1=0.0950, mult1=0.0172, spec_accs_cnt=16000, reg_accs_cnt=14243
in update mr1: q=0.18, mr0=0.88, mult0=0.10, mr1=0.1028, mult1=0.0181, spec_accs_cnt=16000, reg_accs_cnt=15000
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0863, mult1=0.0188, spec_accs_cnt=16000, reg_accs_cnt=16000
in update mr1: q=0.22, mr0=0.88, mult0=0.09, mr1=0.0850, mult1=0.0186, spec_accs_cnt=16000, reg_accs_cnt=17000
in update mr1: q=0.20, mr0=0.88, mult0=0.09, mr1=0.0910, mult1=0.0183, spec_accs_cnt=16000, reg_accs_cnt=18000
in update mr1: q=0.19, mr0=0.88, mult0=0.09, mr1=0.1068, mult1=0.0202, spec_accs_cnt=16000, reg_accs_cnt=19000
calling from mr1
advertising
in update mr0: q=0.22, mr0=0.86, mult0=0.11, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=842
in update mr1: q=0.23, mr0=0.86, mult0=0.11, mr1=0.0085, mult1=0.0020, spec_accs_cnt=1106, reg_accs_cnt=1000
in update mr0: q=0.25, mr0=0.85, mult0=0.11, mr1=0.0085, mult1=0.0021, spec_accs_cnt=2000, reg_accs_cnt=1959
in update mr1: q=0.25, mr0=0.85, mult0=0.11, mr1=0.0149, mult1=0.0037, spec_accs_cnt=2073, reg_accs_cnt=2000
in update mr0: q=0.24, mr0=0.85, mult0=0.11, mr1=0.0149, mult1=0.0035, spec_accs_cnt=3000, reg_accs_cnt=2698
in update mr1: q=0.24, mr0=0.85, mult0=0.11, mr1=0.0312, mult1=0.0075, spec_accs_cnt=3325, reg_accs_cnt=3000
in update mr0: q=0.24, mr0=0.84, mult0=0.12, mr1=0.0312, mult1=0.0076, spec_accs_cnt=4000, reg_accs_cnt=3650
in update mr1: q=0.24, mr0=0.84, mult0=0.13, mr1=0.0381, mult1=0.0090, spec_accs_cnt=4578, reg_accs_cnt=4000
in update mr0: q=0.23, mr0=0.85, mult0=0.11, mr1=0.0381, mult1=0.0088, spec_accs_cnt=5000, reg_accs_cnt=4218
in update mr0: q=0.21, mr0=0.86, mult0=0.11, mr1=0.0381, mult1=0.0081, spec_accs_cnt=6000, reg_accs_cnt=4764
in update mr1: q=0.22, mr0=0.86, mult0=0.11, mr1=0.0473, mult1=0.0105, spec_accs_cnt=6432, reg_accs_cnt=5000
in update mr0: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0473, mult1=0.0097, spec_accs_cnt=7000, reg_accs_cnt=5222
in update mr0: q=0.22, mr0=0.86, mult0=0.11, mr1=0.0473, mult1=0.0104, spec_accs_cnt=8000, reg_accs_cnt=5905
in update mr1: q=0.22, mr0=0.86, mult0=0.11, mr1=0.0590, mult1=0.0127, spec_accs_cnt=8108, reg_accs_cnt=6000
in update mr0: q=0.22, mr0=0.85, mult0=0.11, mr1=0.0590, mult1=0.0133, spec_accs_cnt=9000, reg_accs_cnt=6636
in update mr1: q=0.23, mr0=0.85, mult0=0.11, mr1=0.0655, mult1=0.0147, spec_accs_cnt=9529, reg_accs_cnt=7000
in update mr0: q=0.22, mr0=0.84, mult0=0.12, mr1=0.0655, mult1=0.0145, spec_accs_cnt=10000, reg_accs_cnt=7225
in update mr0: q=0.21, mr0=0.84, mult0=0.13, mr1=0.0655, mult1=0.0139, spec_accs_cnt=11000, reg_accs_cnt=7787
in update mr1: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0731, mult1=0.0157, spec_accs_cnt=11259, reg_accs_cnt=8000
in update mr0: q=0.22, mr0=0.83, mult0=0.13, mr1=0.0731, mult1=0.0163, spec_accs_cnt=12000, reg_accs_cnt=8510
in update mr1: q=0.20, mr0=0.83, mult0=0.13, mr1=0.0753, mult1=0.0154, spec_accs_cnt=12944, reg_accs_cnt=9000
in update mr0: q=0.20, mr0=0.84, mult0=0.13, mr1=0.0753, mult1=0.0154, spec_accs_cnt=13000, reg_accs_cnt=9069
in update mr0: q=0.22, mr0=0.84, mult0=0.12, mr1=0.0753, mult1=0.0163, spec_accs_cnt=14000, reg_accs_cnt=9671
in update mr1: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0790, mult1=0.0165, spec_accs_cnt=14589, reg_accs_cnt=10000
in update mr0: q=0.21, mr0=0.84, mult0=0.12, mr1=0.0790, mult1=0.0168, spec_accs_cnt=15000, reg_accs_cnt=10309
in update mr0: q=0.21, mr0=0.86, mult0=0.11, mr1=0.0790, mult1=0.0163, spec_accs_cnt=16000, reg_accs_cnt=10712
in update mr0: q=0.19, mr0=0.86, mult0=0.11, mr1=0.0790, mult1=0.0150, spec_accs_cnt=17000, reg_accs_cnt=10967
in update mr1: q=0.19, mr0=0.86, mult0=0.11, mr1=0.1073, mult1=0.0203, spec_accs_cnt=17159, reg_accs_cnt=11000
calling from mr1
advertising
in update mr0: q=0.20, mr0=0.87, mult0=0.11, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=678
in update mr1: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0183, mult1=0.0039, spec_accs_cnt=1589, reg_accs_cnt=1000
in update mr0: q=0.21, mr0=0.89, mult0=0.09, mr1=0.0183, mult1=0.0039, spec_accs_cnt=2000, reg_accs_cnt=1134
in update mr0: q=0.22, mr0=0.89, mult0=0.09, mr1=0.0183, mult1=0.0040, spec_accs_cnt=3000, reg_accs_cnt=1870
in update mr1: q=0.22, mr0=0.89, mult0=0.09, mr1=0.0369, mult1=0.0080, spec_accs_cnt=3165, reg_accs_cnt=2000
in update mr0: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0369, mult1=0.0079, spec_accs_cnt=4000, reg_accs_cnt=2251
in update mr0: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0369, mult1=0.0078, spec_accs_cnt=5000, reg_accs_cnt=2738
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0437, mult1=0.0090, spec_accs_cnt=5000, reg_accs_cnt=3000
in update mr1: q=0.22, mr0=0.90, mult0=0.07, mr1=0.0415, mult1=0.0093, spec_accs_cnt=5000, reg_accs_cnt=4000
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0541, mult1=0.0115, spec_accs_cnt=5000, reg_accs_cnt=5000
in update mr1: q=0.21, mr0=0.90, mult0=0.08, mr1=0.0871, mult1=0.0179, spec_accs_cnt=5000, reg_accs_cnt=6000
in update mr1: q=0.24, mr0=0.90, mult0=0.07, mr1=0.1088, mult1=0.0259, spec_accs_cnt=5000, reg_accs_cnt=7000
calling from mr1
advertising
in update mr1: q=0.26, mr0=0.85, mult0=0.11, mr1=0.0143, mult1=0.0037, spec_accs_cnt=806, reg_accs_cnt=1000
in update mr0: q=0.26, mr0=0.86, mult0=0.11, mr1=0.0143, mult1=0.0037, spec_accs_cnt=1000, reg_accs_cnt=1116
in update mr0: q=0.25, mr0=0.87, mult0=0.10, mr1=0.0143, mult1=0.0036, spec_accs_cnt=2000, reg_accs_cnt=1855
in update mr1: q=0.25, mr0=0.87, mult0=0.10, mr1=0.0287, mult1=0.0072, spec_accs_cnt=2154, reg_accs_cnt=2000
in update mr1: q=0.27, mr0=0.87, mult0=0.10, mr1=0.0310, mult1=0.0083, spec_accs_cnt=2971, reg_accs_cnt=3000
in update mr0: q=0.27, mr0=0.88, mult0=0.09, mr1=0.0310, mult1=0.0083, spec_accs_cnt=3000, reg_accs_cnt=3036
in update mr1: q=0.27, mr0=0.88, mult0=0.09, mr1=0.0380, mult1=0.0101, spec_accs_cnt=3000, reg_accs_cnt=4000
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0525, mult1=0.0129, spec_accs_cnt=3000, reg_accs_cnt=5000
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0626, mult1=0.0156, spec_accs_cnt=3000, reg_accs_cnt=6000
in update mr1: q=0.24, mr0=0.88, mult0=0.10, mr1=0.0645, mult1=0.0152, spec_accs_cnt=3000, reg_accs_cnt=7000
in update mr1: q=0.25, mr0=0.88, mult0=0.09, mr1=0.0549, mult1=0.0139, spec_accs_cnt=3000, reg_accs_cnt=8000
in update mr1: q=0.22, mr0=0.88, mult0=0.10, mr1=0.0646, mult1=0.0144, spec_accs_cnt=3271, reg_accs_cnt=9000
in update mr0: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0646, mult1=0.0148, spec_accs_cnt=4000, reg_accs_cnt=9461
in update mr1: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0860, mult1=0.0194, spec_accs_cnt=4980, reg_accs_cnt=10000
in update mr0: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0860, mult1=0.0194, spec_accs_cnt=5000, reg_accs_cnt=10050
in update mr0: q=0.24, mr0=0.87, mult0=0.10, mr1=0.0860, mult1=0.0204, spec_accs_cnt=6000, reg_accs_cnt=10748
in update mr1: q=0.21, mr0=0.87, mult0=0.10, mr1=0.0955, mult1=0.0202, spec_accs_cnt=6725, reg_accs_cnt=11000
calling from mr1
advertising
in update mr0: q=0.24, mr0=0.87, mult0=0.10, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=947
in update mr1: q=0.24, mr0=0.87, mult0=0.10, mr1=0.0105, mult1=0.0026, spec_accs_cnt=1049, reg_accs_cnt=1000
in update mr0: q=0.24, mr0=0.89, mult0=0.09, mr1=0.0105, mult1=0.0025, spec_accs_cnt=2000, reg_accs_cnt=1653
in update mr1: q=0.25, mr0=0.89, mult0=0.08, mr1=0.0234, mult1=0.0059, spec_accs_cnt=2000, reg_accs_cnt=2000
in update mr1: q=0.27, mr0=0.89, mult0=0.08, mr1=0.0323, mult1=0.0087, spec_accs_cnt=2000, reg_accs_cnt=3000
